Source,Meand13C,SDd13C,Meand15N,SDd15N,n
Detritus,-27.157075,2.873782167052835,5.3320875,2.869863310791401,80
Allochthonous insects,-25.420698113207546,1.7362005000409733,4.656792452830189,2.3962814650916835,53
Aquatic macroinvertebrates,-30.397513513513513,5.287184645818508,5.396189189189189,2.219386099275576,37
