ID,Municipality,Species,Group,Trophic_guild,Entity_key,d13C,d15N,THg
A008CRI,Mecaya,Chloroceryle aenea,Birds,Aquatic predator,Birds | Aquatic predator,-34.523,11.008,2.298
A016CRI,Mecaya,Chloroceryle aenea,Birds,Aquatic predator,Birds | Aquatic predator,-35.604,10.844,2.367
