model,max_Rhat_all,min_ESS_all,flagged_parameters,max_Rhat_proportions,min_ESS_proportions,all_proportions_pass
Fish_Primary_Consumer,1.0079015097144628,578.7538317859363,,1.0073813786895411,578.7538317859363,True
Fish_Invertivore,1.0019344393043483,1521.8094187839488,,1.001488123434586,1521.8094187839488,True
Fish_Omnivore,1.0064348440948134,1504.77124751679,,1.002631914253113,1504.77124751679,True
Fish_Carnivore_piscivore,1.0018834422066853,1763.245635918091,,1.0010347101409958,1763.245635918091,True
Birds_Invertivore,1.0113304011267898,2308.021606769792,resid.prop[2],1.0004568933893476,3936.7334548185718,True
Birds_Omnivore,1.0446040021757261,1079.1655421350317,resid.prop[2],1.0016391717146895,2426.074726940461,True
Birds_FrugiGranivore,1.0051619074561031,2847.731546792027,,1.000048780563842,3379.8024110607685,True
Birds_Nectarivore,1.0450117616904044,2269.1281489067533,resid.prop[1],1.0003831058946544,2269.1281489067533,True
Birds_Aquatic_predator,1.0027931120887181,2517.069993271888,,1.0027931120887181,2819.3284876866087,True
