Source,Meand13C,SDd13C,Meand15N,SDd15N
Detritus,0.4,0.2,2.8,0.5
Phytoplankton,0.4,0.2,2.8,0.5
Macrophytes,0.4,0.2,2.8,0.5
Periphyton,0.4,0.2,2.8,0.5
