Source,Meand13C,SDd13C,Meand15N,SDd15N
Allochthonous plants,0.4,0.2,2.8,0.5
Aquatic macroinvertebrates,0.4,0.2,2.8,0.5
Allochthonous insects,0.4,0.2,2.8,0.5
