Code;Municipality;Species;Trophic guild;Group;THg;NT;d15N;CT;d13C
M11-ISO-24;Mecaya;Hemisorobium platyrhynchos;Carnivore-piscivore;Fishes;0.472186;14.74;11.13;40.75;-29.82
M14-ISO-57;Curillo;Hoplias malabaricus;Carnivore-piscivore;Fishes;0.182046;15.29;9.13;40.78;-35.45
M14-ISO-53;Curillo;Hoplias malabaricus;Carnivore-piscivore;Fishes;0.132182;15.55;9.15;42.21;-35.74
M20-ISO-17;San Antonio de Getucha;Hoplias malabaricus;Carnivore-piscivore;Fishes;5.73E-02;14.84;10;41.3;-24.87
M24-ISO-59;Mecaya;Hoplias malabaricus;Carnivore-piscivore;Fishes;4.28E-02;14.57;7.75;39.74;-32.23
M20-ISO-15;San Antonio de Getucha;Jupiaba anteroides;Invertivore;Fishes;4.68E-02;14.23;8.17;41.92;-26.34
M24-ISO-58;Mecaya;Jupiaba anteroides;Invertivore;Fishes;3.12E-02;12.66;6.34;39.48;-29.15
M20-ISO-16;San Antonio de Getucha;Jupiaba anteroides;Invertivore;Fishes;3.11E-02;13.35;7.09;44;-28.96
M20-ISO-14;San Antonio de Getucha;Jupiaba anteroides;Invertivore;Fishes;2.84E-02;14.68;6.99;42.8;-29.23
M13-ISO-65;Curillo;Knodus moenkhausii;Invertivore;Fishes;3.58E-02;13.76;8.89;43.64;-24.99
M13-ISO-69;Curillo;Knodus sp;Invertivore;Fishes;2.11E-02;12.79;8.09;44.3;-25.65
M15-ISO-41;Curillo;Liposarcus sp;Primary Consumer;Fishes;1.65E-02;14.86;7.02;42.1;-29.98
M13-ISO-63;Curillo;Microcharacidium sp;Invertivore;Fishes;6.33E-02;12.32;7.1;45.81;-27.66
M17-ISO-77;San Antonio de Getucha;Microcharacidium sp;Invertivore;Fishes;3.15E-02;12.2;8.19;45.89;-30.32
M1-ISO-110;Mecaya;Moenkhausia collettii;Invertivore;Fishes;3.00E-02;12.51;9.04;42.71;-27.26
M20-ISO-115;San Antonio de Getucha;Moenkhausia cotinho;Invertivore;Fishes;5.62E-02;13.41;10.53;43;-25.8
M13-ISO-66;Curillo;Moenkhausia gr. lepidura;Invertivore;Fishes;0.11432;11.64;9.48;45.27;-25.08
M20-ISO-13;San Antonio de Getucha;Moenkhausia oligolepis;Invertivore;Fishes;7.52E-02;14.62;10.18;41.26;-27.28
M20-ISO-12;San Antonio de Getucha;Moenkhausia oligolepis;Invertivore;Fishes;6.52E-02;14.5;9.94;40.98;-26.92
M5-ISO-101;Mecaya;Moenkhausia sp;Invertivore;Fishes;1.88E-02;12.53;8.3;45.42;-26.3
M5-ISO-102;Mecaya;Moenkhausia sp 3;Invertivore;Fishes;2.94E-02;12.39;8.4;45.17;-25.74
M20-ISO-116;San Antonio de Getucha;Odontostilbe fugitiva;Primary Consumer;Fishes;7.16E-02;2.38;8.69;9.52;-29.88
M3-ISO-26;Mecaya;Panaque nigrolineatus;Primary Consumer;Fishes;7.82E-03;13.94;8.29;40.29;-28.65
M17-ISO-81;San Antonio de Getucha;Parodon pongoensis;Primary Consumer;Fishes;3.61E-02;12.67;8.75;45.17;-30.12
M3-ISO-27;Mecaya;Piaractus brachypomus;Primary Consumer;Fishes;3.86E-02;14.18;6.2;41.46;-22.57
M13-ISO-72;Curillo;Pimelodella aff. cristata;Omnivore;Fishes;0.231494;12.21;9.72;44.75;-25.31
M23-ISO-8;San Antonio de Getucha;Pimelodella aff. cristata;Omnivore;Fishes;0.217432;14.55;9.65;43.06;-30.22
M23-ISO-9;San Antonio de Getucha;Pimelodella aff. cristata;Omnivore;Fishes;0.148296;14.56;9.48;42.07;-26.88
M23-ISO-7;San Antonio de Getucha;Pimelodella aff. cristata;Omnivore;Fishes;0.12817;14.21;9.58;40.84;-27.86
M23-ISO-6;San Antonio de Getucha;Pimelodella aff. cristata;Omnivore;Fishes;8.89E-02;14.82;10.58;42.08;-26.5
M23-ISO-4;San Antonio de Getucha;Pimelodella sp 1;Omnivore;Fishes;0.328592;13.79;10.34;39.97;-26.23
M23-ISO-5;San Antonio de Getucha;Pimelodella sp 1;Omnivore;Fishes;0.172978;14.06;9.7;42.03;-28.1
M23-ISO-3;San Antonio de Getucha;Pimelodella sp 1;Omnivore;Fishes;0.159932;14.49;10.27;40.91;-26.81
M25-ISO-143;San Antonio de Getucha;Pimelodella sp 1;Omnivore;Fishes;1.37E-02;13.96;11.4;42.14;-25.18
M2-ISO-29;Mecaya;Pimelodus blochii;Omnivore;Fishes;0.25505;14.98;9.49;41.68;-26.75
M2-ISO-32;Mecaya;Pimelodus blochii;Omnivore;Fishes;0.134078;14.39;9.67;40.31;-27.98
M2-ISO-30;Mecaya;Pimelodus blochii;Omnivore;Fishes;0.121562;14.16;8.42;41.95;-27.55
M11-ISO-46;Mecaya;Pimelodus blochii;Omnivore;Fishes;8.87E-02;12.54;7.96;43.91;-28.32
M11-ISO-23;Mecaya;Plagioscion squamosissimus;Carnivore-piscivore;Fishes;0.830528;14.79;12.79;42.27;-29.6
M6-ISO-106;Mecaya;Platydoras costatus;Omnivore;Fishes;7.61E-02;13.6;8.67;42.07;-26.65
M9-ISO-33;Mecaya;Potamotrygon constellata;Carnivore-piscivore;Fishes;0.542002;14.19;8.45;42.01;-29.13
M7-ISO-22;Mecaya;Potamotrygon motoro;Carnivore-piscivore;Fishes;0.319568;14.14;11.26;41.5;-29.18
M14-ISO-49;Curillo;Potmorhina latior;Primary Consumer;Fishes;8.56E-02;15.01;9.97;40.53;-35.29
M14-ISO-54;Curillo;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;0.114446;14.99;8.25;39.82;-32.77
M15-ISO-37;Curillo;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;0.10942;14.57;7.2;40.53;-35.16
M11-ISO-48;Mecaya;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;0.10925;14.96;6.98;39.56;-35.16
M15-ISO-35;Curillo;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;9.57E-02;14.88;7.91;41.32;-31.64
M14-ISO-55;Curillo;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;7.49E-02;15.44;7.73;40.09;-34.62
M11-ISO-47;Mecaya;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;7.01E-02;13.43;6.52;36.15;-36.66
M15-ISO-38;Curillo;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;6.93E-02;14.86;7.31;40.28;-32.29
M25-ISO-144;San Antonio de Getucha;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;6.38E-02;13.92;7.97;41.48;-25.56
M10-ISO-20;Mecaya;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;6.28E-02;14.01;8.42;41.04;-27.12
M15-ISO-36;Curillo;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;5.47E-02;14.6;8.2;39.73;-34.82
M15-ISO-39;Curillo;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;4.07E-02;14.36;6.77;36.19;-34.1
M25-ISO-145;San Antonio de Getucha;Prochilodus rubrotaeniatus;Primary Consumer;Fishes;1.70E-02;12.92;7.6;42.79;-33.89
M15-ISO-42;Curillo;Prystobrycon calmoni;Carnivore-piscivore;Fishes;0.3909;14.86;10.17;41.54;-32.52
M11-ISO-21;Mecaya;Pseudoplatystoma fasciatum;Carnivore-piscivore;Fishes;0.24705;14.5;9.77;41.27;-33.73
M7-ISO-25;Mecaya;Raphiodon vulpinis;Carnivore-piscivore;Fishes;0.818452;14.38;10.9;40.29;-30.8
M6-ISO-105;Mecaya;Raphiodon vulpinis;Carnivore-piscivore;Fishes;0.8105;14.34;11.78;41.71;-30.44
M11-ISO-45;Mecaya;Raphiodon vulpinis;Carnivore-piscivore;Fishes;0.738374;15.77;10.36;42.79;-29.63
M15-ISO-40;Curillo;Raphiodon vulpinis;Carnivore-piscivore;Fishes;0.720432;26.37;9.13;46.23;-35.11
M15-ISO-34;Curillo;Raphiodon vulpinis;Carnivore-piscivore;Fishes;0.678084;14.61;10.18;43.27;-32.8
M19-ISO-130;San Antonio de Getucha;Serrapinnus sp;Primary Consumer;Fishes;0.10641;13.9;10.56;43.43;-29.12
M12-ISO-75;Curillo;Serrapinnus sp;Primary Consumer;Fishes;7.06E-02;11.93;9.38;45.75;-31.62
M2-ISO-31;Mecaya;Serrasalmus medinai;Carnivore-piscivore;Fishes;0.209006;14.68;11.18;39.66;-28.95
M14-ISO-56;Curillo;Serrasalmus medinai;Carnivore-piscivore;Fishes;0.2061;14.96;9.64;40.15;-34.97
M14-ISO-50;Curillo;Serrasalmus medinai;Carnivore-piscivore;Fishes;0.188136;15.21;7.69;40.68;-39.6
M14-ISO-52;Curillo;Serrasalmus medinai;Carnivore-piscivore;Fishes;0.18075;14.87;10.4;40.36;-35.59
M25-ISO-141;San Antonio de Getucha;Serrasalmus spiropleura;Carnivore-piscivore;Fishes;0.4327;13.49;11.78;38.5;-23.69
M20-ISO-118;San Antonio de Getucha;Steindachnerina argentea;Primary Consumer;Fishes;1.56E-02;14.75;9.34;43.14;-37.97
M17-ISO-78;San Antonio de Getucha;Steindachnerina guentheri;Primary Consumer;Fishes;3.95E-02;12.14;7.91;45.35;-31.19
M17-ISO-79;San Antonio de Getucha;Steindachnerina guentheri;Primary Consumer;Fishes;2.35E-02;12.6;7.92;44.72;-33.05
M15-ISO-43;Curillo;Steindachnerina sp;Primary Consumer;Fishes;9.59E-02;14.64;8.64;40.24;-37.54
M18-ISO-135;San Antonio de Getucha;Tatia intermedia;Invertivore;Fishes;4.98E-02;11.42;9.62;44.77;-28.71
M25-ISO-139;San Antonio de Getucha;Tetragonopterus argenteus;Invertivore;Fishes;0.155796;12.2;8.44;39.16;-26.86
M25-ISO-140;San Antonio de Getucha;Tetragonopterus argenteus;Invertivore;Fishes;5.61E-02;12.55;8.53;45.28;-26.8
M6-ISO-107;Mecaya;Trachelyopterus galeatus;Invertivore;Fishes;4.94E-02;13.81;7.95;41.06;-28.29
M17-ISO-93;San Antonio de Getucha;Vandellia cirrhosa;Carnivore-piscivore;Fishes;0.121792;13.38;14.17;45.16;-25.74
M22-ISO-2;Mecaya;Zungaro zungaro;Carnivore-piscivore;Fishes;2.763.334;15.1;11.93;41.13;-28.8
NA;Mecaya;NA;NA;Periphyton;NA;4.041;17.3833692;-30.843;12.68961787
NA;Mecaya;NA;NA;Periphyton;NA;4.11;17.3389368;-36.453;6.996355418
NA;Mecaya;NA;NA;Periphyton;NA;3.061;13.0076464;-31.563;3.359701578
NA;Mecaya;NA;NA;Periphyton;NA;1.503;16.8868305;-29.17;7.707014275
NA;San Antonio de Getuchá;NA;NA;Periphyton;NA;3.053;4.0872331;-30.323;9.310154186
NA;Mecaya;NA;NA;Periphyton;NA;6.133;12.079199;-31.97;9.192239987
NA;Mecaya;NA;NA;Periphyton;NA;1.875;12.544672;-21.19;11.98793893
NA;Mecaya;NA;NA;Periphyton;NA;1.145;9.2919738;-31.768;13.61082054
NA;Mecaya;NA;NA;Periphyton;NA;0.154;17.708375;-31.979;15.78119447
NA;Mecaya;NA;NA;Periphyton;NA;1.552;4.8139251;-28.175;12.34185338
NA;Mecaya;NA;NA;Periphyton;NA;5.363;22.53891;-29.525;10.8643144
NA;Curillo;NA;NA;Periphyton;NA;-0.007;22.709268;-28.172;12.63730533
NA;Curillo;NA;NA;Periphyton;NA;1.095;8.2038248;-31.763;15.3860584
NA;Curillo;NA;NA;Periphyton;NA;-1.598;20.6211897;-32.559;12.36942949
NA;Curillo;NA;NA;Periphyton;NA;0.153;15.9220195;-27.204;15.45461627
NA;Curillo;NA;NA;Periphyton;NA;3.794;13.1966904;-30.187;10.00362298
A001CI;Mecaya;Amazilia versicolor;Nectarivore;Birds;NA;14.147.171;9.852;503.157.436;-25.133
A002CRI;Mecaya;Poecilotriccus latirostris;Invertivore;Birds;NA;146.479.475;9.282;460.726.656;-26.618
A003CRI;Mecaya;Phaethornis atrimentalis;Nectarivore;Birds;22.6;146.051.644;10.027;407.039.022;-28.734
A004CRI;Mecaya;Phaethornis bourcieri;Nectarivore;Birds;NA;12.218.685;8.566;4.477.366;-26.648
A005CRI;Mecaya;Glaucis hirsutus;Nectarivore;Birds;10.37;143.880.924;10.369;434.703.528;-28.304
A006CRI;Mecaya;Thraupis episcopus;Frugi-granivore;Birds;4.3;190.600.451;8.242;446.408.352;-25.663
A007CRI;Mecaya;Thraupis episcopus;Frugi-granivore;Birds;0.837;149.498.139;8.93;456.555.045;-26.639
A008CRI;Mecaya;Chloroceryle aenea;Aquatic predator;Birds;2.298;147.829.739;11.008;470.110.895;-34.523
A009CRI;Mecaya;Elaenia sp.;Invertivore;Birds;4.587;153.719.486;8.287;466.707.801;-26.706
A010CRI;Mecaya;Pipra filicauda;Invertivore;Birds;0.8113;153.691.841;7.575;453.472.201;-27.909
A011CRI;Mecaya;Tolmomyias sp.;Invertivore;Birds;1.783;147.899.369;8.456;442.244.275;-27.144
A012CRI;Mecaya;Tyrannus melancholicus;Invertivore;Birds;1.019;150.561.308;9.6;437.936.524;-25.66
A013CRI;Mecaya;Xiphorhynchus guttatus;Invertivore;Birds;1.078;148.392.806;9.1;442.925.804;-25.4
A014CRI;Mecaya;Glaucis hirsutus;Nectarivore;Birds;2.252;146.140.833;9.96;4.535.031;-28.421
A015CRI;Mecaya;Amazilia versicolor;Nectarivore;Birds;1.576;142.947.334;9.567;427.393.235;-27.409
A016CRI;Mecaya;Chloroceryle aenea;Aquatic predator;Birds;2.367;151.569.771;10.844;452.961.603;-35.604
A017CRI;Mecaya;Dendrocyncla fuliginosa;Invertivore;Birds;1.433;148.457.917;8.506;417.718.727;-26.573
A019CRI;Curillo;Amazilia versicolor;Nectarivore;Birds;0.5545;14.642.878;8.633;424.513.978;-26.794
A020CRI;Curillo;Monasa nigrifrons;Omnivore;Birds;0.934;143.004.826;7.993;420.805.938;-26.95
A021CRI;Curillo;Phaethornis hispidus;Nectarivore;Birds;8.732;143.905.751;8.932;428.944.818;-28.418
A022CRI;Curillo;Florisuga mellivora;Nectarivore;Birds;1.643;147.552.721;11.393;429.985.539;-26.052
A023CRI;Curillo;Phaethornis hispidus;Nectarivore;Birds;0.9054;146.541.852;8.691;428.800.554;-25.375
A024CRI;Curillo;Leptotila rufaxilla;Frugi-granivore;Birds;0.1597;153.025.802;6.023;426.515.044;-26.56
A025CRI;Curillo;Dendrexetastes rufigula;Invertivore;Birds;1.441;147.886.064;7.088;414.688.282;-26.565
A026CRI;Curillo;Cacicus cela;Omnivore;Birds;0.32135;147.488.871;7.606;415.100.252;-25.608
A027CRI;Curillo;Cacicus cela;Omnivore;Birds;0.8933;155.862.726;7.425;442.513.829;-25.558
A028CRI;Curillo;Dendrocolaptes picumnus;Invertivore;Birds;0.6066;147.359.711;8.737;433.002.516;-26.446
A031CRI;San Antonio de Getuchá;Leptotila rufaxilla;Frugi-granivore;Birds;0.1065;15.025.885;6.598;429.794.225;-27.705
BD1;Mecaya;Fruits;NA;Allochthonous plants;NA;2.5;5.73;43.68;-29.63
BD4;Mecaya;Fruits;NA;Allochthonous plants;NA;10.55;5.12;36.24;-26.7
BD10;Mecaya;Fruits;NA;Allochthonous plants;NA;2.38;1.22;47.25;-31.76
BD18;Curillo;Fruits;NA;Allochthonous plants;NA;10.66;7.35;37.68;-38.3
BD25;Mecaya;Fruits;NA;Allochthonous plants;NA;1.1;5.49;39.61;-27.45
BD26;Mecaya;Fruits;NA;Allochthonous plants;NA;2.42;4.87;48.07;-29.76
BD27;Mecaya;Fruits;NA;Allochthonous plants;NA;7.09;8.08;46.56;-27.06
BD29;Mecaya;Fruits;NA;Allochthonous plants;NA;1.92;6.1;46.11;-27.32
BD39;Mecaya;Seeds;NA;Allochthonous plants;NA;4.17;1.17;49.26;-33.08
BD40;Mecaya;Fruits;NA;Allochthonous plants;NA;1.44;5.26;42.5;-28.7
BD42;Mecaya;Fruits;NA;Allochthonous plants;NA;11.2;2.74;43.69;-33.15
BD52;San Antonio de Getuchá;Seeds;NA;Allochthonous plants;NA;4.57;1.94;27.18;-24.74
BD58;Mecaya;Seeds;NA;Allochthonous plants;NA;0.96;11.1;53.65;-29.48
BD60;Mecaya;Fruits;NA;Allochthonous plants;NA;6.27;9.24;54.28;-29.33
BD72;San Antonio de Getuchá;Fruits;NA;Allochthonous plants;NA;0.606;10.7;33.35;-25.58
BD83;Mecaya;Seeds;NA;Allochthonous plants;NA;2.26;8.92;36.3;-26.18
BD103;Curillo;Seeds;NA;Allochthonous plants;NA;1.62;7.09;22.56;-23.57
BD109;Curillo;Fruits;NA;Allochthonous plants;NA;2.2;3.04;39.35;-25.1
BD118;Curillo;Seeds;NA;Allochthonous plants;NA;1.58;3.78;32.17;-27.55
BD129;Mecaya;Seeds;NA;Allochthonous plants;NA;0.9;3.2;40.64;-29.24
BD158;San Antonio de Getuchá;Seeds;NA;Allochthonous plants;NA;2.88;6.02;47.63;-28.05
BD160;San Antonio de Getuchá;Fruits;NA;Allochthonous plants;NA;2.27;6.26;41.28;-26.07
BD171;San Antonio de Getuchá;Seeds;NA;Allochthonous plants;NA;0.79;8.34;31.1;-24.45
BD203;San Antonio de Getuchá;Seeds;NA;Allochthonous plants;NA;0.89;5.95;39.01;-27.51
