Code,Municipality,Species,Trophic_guild,Group,THg,NT,d15N,CT,d13C,Entity_key
BD199,San Antonio de Getucha,Fish_stomach_content,NA,Detritus,NA,3.607.797,7.943,462.093.225,-26.632,Detritus
BD45,Mecaya,Fish_stomach_content,NA,Detritus,NA,114.080.388,5.085,211.067.311,-29.57,Detritus
BD82,Mecaya,Fish_stomach_content,NA,Detritus,NA,16.908.525,9.874,320.374.973,-25.564,Detritus
BD148,Mecaya,Fish_stomach_content,NA,Detritus,NA,19.636.541,6.462,340.046.856,-26.091,Detritus
BD149,Mecaya,Fish_stomach_content,NA,Detritus,NA,17.732.664,6.929,201.719.017,-24.93,Detritus
BD178,Mecaya,Fish_stomach_content,NA,Detritus,NA,121.424,4.119,258.383.266,-25.126,Detritus
BD192,Mecaya,Fish_stomach_content,NA,Detritus,NA,0.7941336,11.001,104.153.469,-26.82,Detritus
BD32,Mecaya,Fish_stomach_content,NA,Detritus,NA,101.832.655,4.705,379.411.358,-26.077,Detritus
F1,Mecaya,NA,NA,Phytoplankton,NA,10.289.696,2.532,85.314.653,-32.32,Phytoplankton
F2,Mecaya,NA,NA,Phytoplankton,NA,2.043.412,2.313,126.340.709,-35.944,Phytoplankton
F3,Curillo,NA,NA,Phytoplankton,NA,18.421.566,3.424,139.584.288,-35.565,Phytoplankton
BD31,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,14.244.496,5.756,355.055.847,-24.845,Allochthonous insects
BD63,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,33.501.841,2.926,385.801.353,-26.029,Allochthonous insects
BD64,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,19.132.209,2.699,380.507.357,-27.16,Allochthonous insects
BD88,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,35.821.528,6.482,379.273.237,-25.016,Allochthonous insects
BD89,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,35.288.749,6.251,441.801.716,-25.024,Allochthonous insects
BD108,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,36.704.546,8.381,304.955.654,-24.501,Allochthonous insects
BD131,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,26.230.805,3.227,334.446.446,-23.645,Allochthonous insects
BD132,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,0.7419989,4.996,141.772.487,-25.673,Allochthonous insects
BD140,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,10.531.843,4.822,331.344.936,-24.335,Allochthonous insects
BD195,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,11.404.403,1.782,206.894.546,-25.699,Allochthonous insects
BD115,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,35.582.502,3.152,471.346.127,-25.837,Allochthonous insects
BD121,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,23.479.171,2.139,464.111.605,-26.777,Allochthonous insects
BD123,Curillo,Fish_stomach_content,NA,Allochthonous insects,NA,24.647.461,1.45,283.709.685,-26.55,Allochthonous insects
BD127,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,10.734.203,4.856,255.605.066,-25.739,Allochthonous insects
BD142,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,0.8428133,3.592,299.616.938,-24.416,Allochthonous insects
BD143,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,26.692.009,5.29,246.853.437,-25.108,Allochthonous insects
BD145,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,0.9495155,3.9,265.776.005,-25.528,Allochthonous insects
BD147,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,11.802.291,3.66,362.793.009,-25.644,Allochthonous insects
BD151,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,14.521.664,6.057,261.675.102,-25.529,Allochthonous insects
BD156,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,0.875604,3.922,203.611.889,-24.855,Allochthonous insects
BD202,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,24.041.519,3.144,362.621.732,-25.691,Allochthonous insects
BD204,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,16.808.434,3.133,232.697.762,-25.753,Allochthonous insects
BD205,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,0.7462357,11.973,198.214.974,-25.608,Allochthonous insects
BD209,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,0.9249106,4.118,265.499.397,-24.473,Allochthonous insects
BD2,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,109.211.114,0.231,428.533.562,-30.972,Allochthonous insects
BD9,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,83.754.937,5.018,365.845.357,-28.17,Allochthonous insects
BD59,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,29.389.471,0.528,335.370.338,-28.048,Allochthonous insects
BD51,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,20.356.092,3.376,493.387.055,-24.704,Allochthonous insects
BD70,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,76.561.635,4.787,46.704.513,-25.618,Allochthonous insects
BD75,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,16.975.293,3.978,425.965.323,-24.768,Allochthonous insects
BD130,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,50.122.917,6.285,644.983.273,-24.654,Allochthonous insects
BD180,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,13.468.381,5.914,314.699.371,-24.386,Allochthonous insects
BD67,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,40.797.745,5.128,335.661.271,-26.051,Allochthonous insects
BD69,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,120.485.153,5.239,46.473.474,-27.138,Allochthonous insects
BD159,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,44.329.485,10.142,293.216.091,-26.016,Allochthonous insects
BD161,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,71.157.672,3.464,449.784.149,-28.1,Allochthonous insects
BD169,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,24.225.489,6.698,329.954.572,-25.223,Allochthonous insects
BD170,San Antonio de Getucha,Fish_stomach_content,NA,Allochthonous insects,NA,11.402.834,1.308,306.772.435,-24.489,Allochthonous insects
BD84,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,0.86787,8.474,501.319.324,-24.392,Allochthonous insects
BD99,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,2.413.004,11.055,478.886.545,-23.592,Allochthonous insects
BD176,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,4.061.871,2.271,297.105.906,-26.717,Allochthonous insects
BD95,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,16.167.849,7.009,456.512.032,-23.665,Allochthonous insects
BD181,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,51.374.373,4.245,534.870.909,-22.245,Allochthonous insects
BD184,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,13.987.021,5.205,304.765.106,-24.074,Allochthonous insects
BD185,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,23.091.948,2.847,326.378.691,-20.455,Allochthonous insects
BD194,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,36.900.039,4.517,333.740.011,-21.417,Allochthonous insects
BD91,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,108.698.888,5.198,421.557.363,-28.114,Allochthonous insects
BD92,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,38.639.822,5.274,398.817.651,-24.654,Allochthonous insects
BD93,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,84.327.592,2.404,460.143.429,-27.268,Allochthonous insects
BD94,Mecaya,Fish_stomach_content,NA,Allochthonous insects,NA,52.316.111,4.811,325.674.773,-27.9,Allochthonous insects
