Entity_key,n
Detritus,80
Allochthonous insects,53
Aquatic macroinvertebrates,37
Fish | Invertivore,36
Macrophytes,36
Fish | Carnivore-piscivore,28
Fish | Primary Consumer,27
Allochthonous plants,24
Fish | Omnivore,16
Periphyton,16
Birds | Nectarivore,10
Birds | Invertivore,9
Birds | FrugiGranivore,4
Birds | Omnivore,3
Phytoplankton,3
Birds | Aquatic predator,2
