Source,Meand13C,SDd13C,Meand15N,SDd15N,n
Detritus,-27.157075,2.873782167052835,5.3320875,2.869863310791401,80
Phytoplankton,-34.60966666666667,1.9919438579772608,2.7563333333333335,0.5884932738216583,3
Macrophytes,-27.691972222222223,6.316570097703845,4.118166666666666,2.643349287767861,36
Periphyton,11.230764844,3.3711978709032056,14.27087895625,5.690060137339618,16
