Source,Meand13C,SDd13C,Meand15N,SDd15N,n
Allochthonous insects,-25.420698113207546,1.7362005000409733,4.656792452830189,2.3962814650916835,53
Aquatic macroinvertebrates,-30.397513513513513,5.287184645818508,5.396189189189189,2.219386099275576,37
Allochthonous plants,-28.323333333333334,3.2951290357615495,5.779583333333333,2.7709792322926385,24
