Source,Meand13C,SDd13C,Meand15N,SDd15N,n
Fish | Primary Consumer,-31.604074074074074,3.9067035673996,7.989629629629629,1.0260734772065696,27
Fish | Invertivore,-27.545833333333334,2.1216225260062505,8.740277777777777,1.235654797173457,36
Fish | Omnivore,-27.125,1.3416109719288976,9.36125,1.3404719318210285,16
Aquatic macroinvertebrates,-30.397513513513513,5.287184645818508,5.396189189189189,2.219386099275576,37
