Group,Trophic_guild,Species,n,mean_d13C,sd_d13C,mean_d15N,sd_d15N,mean_THg,sd_THg,n_THg
Fish,Invertivore,Ctenobrycon hauxwellianus,1,-26.32,NA,8.25,NA,0.00953,NA,1
Fish,Invertivore,Ctenobrycon spilurus,1,-29.57,NA,4.74,NA,0.0904,NA,1
Fish,Invertivore,Eigenmannia trilineata,1,-28.66,NA,9.24,NA,0.0301,NA,1
Fish,Invertivore,Gymnocoriumbus sp,1,-28.12,NA,8.25,NA,0.0477,NA,1
Fish,Invertivore,Jupiaba anteroides,4,-28.42,1.3912823820729805,7.1475,0.7584358905009704,0.034375,0.008384261048734905,4
Fish,Invertivore,Knodus moenkhausii,1,-24.99,NA,8.89,NA,0.0358,NA,1
Fish,Invertivore,Knodus sp,1,-25.65,NA,8.09,NA,0.0211,NA,1
Fish,Invertivore,Microcharacidium sp,2,-28.990000000000002,1.8809040379562165,7.645,0.7707463914933367,0.0474,0.022485995641732207,2
Fish,Invertivore,Moenkhausia collettii,1,-27.26,NA,9.04,NA,0.03,NA,1
Fish,Invertivore,Moenkhausia cotinho,1,-25.8,NA,10.53,NA,0.0562,NA,1
Fish,Invertivore,Moenkhausia gr. lepidura,1,-25.08,NA,9.48,NA,0.11432,NA,1
Fish,Invertivore,Moenkhausia oligolepis,2,-27.1,0.2545584412271567,10.059999999999999,0.16970562748477155,0.0702,0.007071067811865481,2
Fish,Invertivore,Moenkhausia sp,1,-26.3,NA,8.3,NA,0.0188,NA,1
Fish,Invertivore,Moenkhausia sp 3,1,-25.74,NA,8.4,NA,0.0294,NA,1
Fish,Invertivore,Tatia intermedia,1,-28.71,NA,9.62,NA,0.0498,NA,1
Fish,Invertivore,Tetragonopterus argenteus,2,-26.83,0.042426406871191945,8.485,0.06363961030678918,0.10594799999999999,0.07049571765717404,2
Fish,Invertivore,Trachelyopterus galeatus,1,-28.29,NA,7.95,NA,0.0494,NA,1
Fish,Omnivore,Astyanax fasciatus,1,-28.35,NA,5.4,NA,0.0648,NA,1
Fish,Omnivore,Astyanax sp 2,1,-25.31,NA,9.45,NA,0.0645,NA,1
Fish,Omnivore,Pimelodella aff. cristata,5,-27.354,1.8440390451397715,9.802,0.4438693501470899,0.16285840000000001,0.060362067814149635,5
Fish,Omnivore,Pimelodella sp 1,4,-26.58,1.217346841838157,10.4275,0.7088664660333901,0.1688005,0.12869290367770866,4
