parameter,Rhat,ESS,screen_pass
deviance,1.0009071354012782,2926.7817456273333,TRUE
loglik[1],1.0001118761816088,3078.8398402251864,TRUE
loglik[2],1.0007115553167858,2938.933308465425,TRUE
loglik[3],1.001083982008243,2847.731546792027,TRUE
loglik[4],1.002349363813638,2876.7783914850206,TRUE
p.global[1],1.000048780563842,3379.802411060769,TRUE
p.global[2],1.000048780563842,3379.8024110607685,TRUE
resid.prop[1],1.0037672306771777,2864.2748860440233,TRUE
resid.prop[2],1.0051619074561031,2999.999999999998,TRUE
