parameter,Rhat,ESS,screen_pass
deviance,1.0005353948359843,2999.999999999999,TRUE
loglik[1],1.001267016276641,2815.5883501738163,TRUE
loglik[2],1.0009438478309571,2881.6880954413546,TRUE
loglik[3],1.001134356666826,3017.3636740158945,TRUE
loglik[4],1.0002340643319219,3000,TRUE
loglik[5],1.0010038641067147,3075.880526138895,TRUE
loglik[6],1.0010808653481484,2786.6783570169437,TRUE
loglik[7],1.000244210675242,3008.1510221765493,TRUE
loglik[8],1.0003029987446352,3036.491529289131,TRUE
loglik[9],1.0012823247897185,2756.579285353605,TRUE
loglik[10],1.0008774807753946,3099.8672834386166,TRUE
loglik[11],1.000498523600208,3002.5306732622544,TRUE
loglik[12],1.0010027884234332,2849.0865861936954,TRUE
loglik[13],1.0011280344853601,2840.4667803247103,TRUE
loglik[14],1.0009275876764052,2713.078473101925,TRUE
loglik[15],0.9997102139867112,2540.7615508685267,TRUE
loglik[16],1.0010943961047676,2879.2269815727122,TRUE
loglik[17],1.0001905853316022,2763.4570485498343,TRUE
loglik[18],1.001014684184857,2709.366977514681,TRUE
loglik[19],0.9998395189481606,3000.0000000000005,TRUE
loglik[20],1.0002600555655612,2907.1555127014644,TRUE
loglik[21],1.0003210225506263,2911.861158791704,TRUE
loglik[22],1.001091909624149,2812.6165832592933,TRUE
loglik[23],1.0019344393043483,2638.6939743756743,TRUE
loglik[24],0.9999380998102594,2831.999581877376,TRUE
loglik[25],1.0010488842929228,2895.040551768319,TRUE
loglik[26],1.0005092264823496,3034.9965103386844,TRUE
loglik[27],1.0013982780396555,3075.25635454265,TRUE
loglik[28],1.0006695380345705,2884.1302243077203,TRUE
loglik[29],1.0014321498990837,3000.0000000000027,TRUE
loglik[30],1.0014936765315803,3000.000000000001,TRUE
loglik[31],1.0008772905856305,2714.6439402361266,TRUE
loglik[32],1.0012304391046614,2660.624888864892,TRUE
loglik[33],1.0012511209367196,2772.1375300855734,TRUE
loglik[34],1.000454551559492,3000.2819697874147,TRUE
loglik[35],1.0004283525717588,3002.374758880359,TRUE
loglik[36],0.9999432664353755,3000.0000000000005,TRUE
p.global[1],1.001488123434586,1521.8094187839488,TRUE
p.global[2],0.9999848212753463,2253.1263365547884,TRUE
p.global[3],1.0000805629647262,1545.6791574775414,TRUE
resid.prop[1],1.0008201921546478,2442.642363782907,TRUE
resid.prop[2],1.000633041710062,1989.5795792341867,TRUE
