Group,Trophic guild,Species,n,n_THg,d13C mean +/- SD,d15N mean +/- SD,THg mean +/- SD
Fish,Invertivore,Moenkhausia sp,1,1,-26.3,8.3,0.019
Fish,Invertivore,Moenkhausia sp 3,1,1,-25.74,8.4,0.029
Fish,Invertivore,Tatia intermedia,1,1,-28.71,9.62,0.05
Fish,Invertivore,Tetragonopterus argenteus,2,2,-26.83 +/- 0.04,8.48 +/- 0.06,0.106 +/- 0.07
Fish,Invertivore,Trachelyopterus galeatus,1,1,-28.29,7.95,0.049
Fish,Omnivore,Astyanax fasciatus,1,1,-28.35,5.4,0.065
Fish,Omnivore,Astyanax sp 2,1,1,-25.31,9.45,0.064
Fish,Omnivore,Pimelodella aff. cristata,5,5,-27.35 +/- 1.84,9.8 +/- 0.44,0.163 +/- 0.06
Fish,Omnivore,Pimelodella sp 1,4,4,-26.58 +/- 1.22,10.43 +/- 0.71,0.169 +/- 0.129
Fish,Omnivore,Pimelodus blochii,4,4,-27.65 +/- 0.68,8.88 +/- 0.83,0.15 +/- 0.073
Fish,Omnivore,Platydoras costatus,1,1,-26.65,8.67,0.076
Fish,Primary Consumer,Aphanotorulus unicolor,3,3,-27.51 +/- 2.29,7.4 +/- 0.11,0.053 +/- 0.028
Fish,Primary Consumer,Liposarcus sp,1,1,-29.98,7.02,0.016
Fish,Primary Consumer,Odontostilbe fugitiva,1,1,-29.88,8.69,0.072
Fish,Primary Consumer,Panaque nigrolineatus,1,1,-28.65,8.29,0.008
Fish,Primary Consumer,Parodon pongoensis,1,1,-30.12,8.75,0.036
Fish,Primary Consumer,Piaractus brachypomus,1,1,-22.57,6.2,0.039
Fish,Primary Consumer,Potmorhina latior,1,1,-35.29,9.97,0.086
Fish,Primary Consumer,Prochilodus rubrotaeniatus,12,12,-32.82 +/- 3.34,7.57 +/- 0.62,0.074 +/- 0.03
Fish,Primary Consumer,Serrapinnus sp,2,2,-30.37 +/- 1.77,9.97 +/- 0.83,0.089 +/- 0.025
Fish,Primary Consumer,Steindachnerina argentea,1,1,-37.97,9.34,0.016
Fish,Primary Consumer,Steindachnerina guentheri,2,2,-32.12 +/- 1.32,7.92 +/- 0.01,0.032 +/- 0.011
Fish,Primary Consumer,Steindachnerina sp,1,1,-37.54,8.64,0.096
Macrophytes,NA,Brazuelo vegetado (Pasto aleman),1,0,-13.4,2.71,
Macrophytes,NA,Ca?o pe?as blancas (Azolla),1,0,-31.82,-0.26,
Macrophytes,NA,Ca?o peterumbe (Pistia stratiotes),1,0,-30.58,4.57,
Macrophytes,NA,"Ca?o/lago Pto Pr?ncipe (zona macrofita c3, parecida a Azolla)",1,0,-28.54,5.79,
Macrophytes,NA,Desembocadura ca?o/lago pto pr?ncipe (Echinocloa cf colonum c4,1,0,-26.88,2.74,
Macrophytes,NA,Entrada a Pe?as Blancas,1,0,-12.38,3.39,
Macrophytes,NA,Humedal colegio la pradera (Ceratopteris pteroides),1,0,-28.11,7.41,
Macrophytes,NA,Humedal colegio la pradera (Lemna minor),1,0,-30.83,10.31,
Macrophytes,NA,Humedal colegio la pradera (Lemna),1,0,-30.21,10,
Macrophytes,NA,Humedal colegio la pradera NN1 (era como un cuerno de alce peque?o),1,0,-11.66,7.9,
Macrophytes,NA,Laguna Fidelicia (Eichornnia crassipes),1,0,-28.99,4.37,
Macrophytes,NA,Laguna Fidelicia (Pistia stratiotes),1,0,-29.04,4.46,
Macrophytes,NA,Laguna Fidelicia (cogida por don anoraldo) NN2,1,0,-28.29,2.94,
Macrophytes,NA,Laguna Fidelicia (como una lenteja grande y con pubescencia),1,0,-30.2,3.18,
Macrophytes,NA,Punto 1,11,0,-28.92 +/- 4.92,3.75 +/- 2.25,
Macrophytes,NA,Punto 2,5,0,-28.76 +/- 9.47,2.06 +/- 3.04,
Macrophytes,NA,Punto 2 Laguna de la Cocha,1,0,-29.94,5.01,
Macrophytes,NA,Punto 2 Laguna peque?a,1,0,-29.73,6.34,
Macrophytes,NA,Punto 3,2,0,-30.25 +/- 0.31,4.38 +/- 0.82,
Macrophytes,NA,R?o Orteguaza (Oriza),1,0,-26.47,3.46,
Macrophytes,NA,Tramo r?o Orteguaza (Pasto C4),1,0,-27.41,3.64,
