parameter,Rhat,ESS,screen_pass
deviance,1.000431941767457,2419.15810117779,TRUE
loglik[1],0.9998709113085434,2345.414266296908,TRUE
loglik[2],0.999779273121686,3000.000000000002,TRUE
loglik[3],0.9998188918672771,3000.000000000001,TRUE
loglik[4],1.0022939632767736,2818.721561582959,TRUE
loglik[5],1.0008210422776336,2564.8100088986357,TRUE
loglik[6],1.0001963035049775,2617.6095336738554,TRUE
loglik[7],1.0027490852887917,2856.0663148147023,TRUE
loglik[8],1.0023512506937224,2858.1527613982507,TRUE
loglik[9],1.0003446868113348,2641.7907385290946,TRUE
loglik[10],1.0021221987095263,2718.5201124654786,TRUE
loglik[11],1.0002871334760364,3000,TRUE
loglik[12],1.0009229593606477,2564.1126276118785,TRUE
loglik[13],1.0002522857623617,2609.1762632392465,TRUE
loglik[14],1.0001569196365674,2810.587732169733,TRUE
loglik[15],1.000588626951837,2848.058801496505,TRUE
loglik[16],1.000579372661634,2905.4334059855955,TRUE
p.global[1],1.001070943269085,1516.6953575543127,TRUE
p.global[2],1.0011964036936363,2005.1020773829541,TRUE
p.global[3],1.002631914253113,1504.77124751679,TRUE
p.global[4],1.0014636227967497,2142.3580220098092,TRUE
p.global[5],0.9997121854731205,1850.694660238817,TRUE
resid.prop[1],1.0021378241475116,2632.1726487988262,TRUE
resid.prop[2],1.0064348440948134,2375.076759747737,TRUE
