mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,parameter
114.42235753712256,3.7759315619557805,109.05111173278532,111.60239184587789,113.79804228306735,116.55514776941062,123.24201230623535,1.001005826855769,3000,deviance
-1.9422325595463066,0.24116485468868115,-2.454360026083871,-2.0965258162798324,-1.9306769544092925,-1.7755175550271431,-1.5056653174041459,1.002168803257431,1200,loglik[1]
-1.7413689291970753,0.20165320293606354,-2.171758543878359,-1.867122981980505,-1.73792326550854,-1.6060047650327884,-1.3703768655061306,1.0014740026529731,2100,loglik[2]
-2.445292586432464,0.28021829479562294,-3.0661575529156377,-2.6182266417485325,-2.427922754405635,-2.251715116370238,-1.9448943135120123,1.0013253290709585,2400,loglik[3]
-0.777661055293483,0.17580082657910687,-1.1279227658359139,-0.8999847723893426,-0.7740074473573755,-0.6515796779526035,-0.4480672574480086,1.0009006879214701,3000,loglik[4]
-1.0603942403877504,0.17832997386986843,-1.4098955649697158,-1.1768592599196033,-1.0597917473847662,-0.9358782568629397,-0.7132573382775603,1.0012482552632724,2700,loglik[5]
-1.9148235742259605,0.29761823759215894,-2.5536613689758454,-2.099068007381292,-1.8893694470597031,-1.6984946578921487,-1.4086145093280327,1.0017093798712795,1700,loglik[6]
-1.2227482945475001,0.17646076764708615,-1.5698093515147102,-1.3421092327494761,-1.2209128141985044,-1.103127826849664,-0.8870906825275691,1.0012139894012846,2800,loglik[7]
-1.2053892012751108,0.17280670471280282,-1.5446813725241977,-1.3211275243130118,-1.205033279045951,-1.0891464944153244,-0.870857403343632,1.0011607395530533,3000,loglik[8]
-1.2934648047773327,0.19228141100459564,-1.6801339473452477,-1.4235681145206858,-1.2898185054721565,-1.160335240016256,-0.9341497481867068,1.0021075762224265,1200,loglik[9]
-2.047834914436631,0.2842117689473558,-2.6553108754084565,-2.2283037970593993,-2.0224395324305533,-1.8514799263217632,-1.539426732259936,1.0016908932030633,1700,loglik[10]
-0.8990872485921155,0.17819946475924475,-1.24300375859685,-1.0195528413358563,-0.8968624992629761,-0.7729730727851637,-0.5627937913813895,1.0010266141626951,3000,loglik[11]
-6.436295570579966,1.3874870363193648,-9.427690105448876,-7.2787550841067485,-6.30767651574711,-5.47474398978474,-4.055716788667832,1.001189866670236,2900,loglik[12]
-2.6424144305392168,0.4752155480426785,-3.6706751870885466,-2.9340263167751113,-2.603569403792763,-2.308908993878193,-1.8237144361223883,1.0016727885540286,1700,loglik[13]
-0.8265453376507444,0.17247075235536521,-1.1625885435320757,-0.9407122918268909,-0.8231453838703973,-0.7087618135761138,-0.500830013315909,1.0010606882026953,3000,loglik[14]
-4.9901997992230855,1.0462318990642856,-7.359590736466157,-5.634147949677406,-4.867393969128827,-4.212815720155513,-3.340744467904071,1.0005817323031925,3000,loglik[15]
