Source,mean,sd,2.5%,50%,97.5%,Rhat,n.eff
Fish | Invertivore,0.14707049451120566,0.11316157577220033,0.004958299551248701,0.12414196851961143,0.4157438383270677,1.0013049633664701,2500
Fish | Omnivore,0.10160783400352691,0.08463559590869142,0.004110161655260259,0.08188517735573798,0.31470715624738754,1.0097326357563392,730
Fish | Primary Consumer,0.7513216714852674,0.12195604514638889,0.48457396398627267,0.7619031491620131,0.9500725885656508,1.0005727674089462,3000
