parameter,Rhat,ESS,screen_pass
deviance,1.0000617539616492,2987.795961588566,TRUE
loglik[1],0.9999661576255748,2767.6142303132788,TRUE
loglik[2],1.0000849573911372,3265.0471495865604,TRUE
p.global[1],1.0002468023294309,3000.000000000004,TRUE
p.global[2],1.0027931120887181,2833.4040543088695,TRUE
p.global[3],1.0007684125186787,2819.3284876866087,TRUE
p.global[4],1.000056248688777,3000.000000000001,TRUE
resid.prop[1],0.9997217246950643,3000.000000000001,TRUE
resid.prop[2],1.0012122351497648,2517.069993271888,TRUE
