Source,mean,sd,2.5%,50%,97.5%,Rhat,n.eff
Allochthonous insects,0.2842946560876663,0.160469084423969,0.02175227203870925,0.2709561486402765,0.6027141595449849,1.0041806760891898,930
Aquatic macroinvertebrates,0.18676261646399236,0.12078714680463482,0.013518867116353004,0.17128141728874166,0.45831078565782535,1.0064865188597802,590
Detritus,0.3654212996801194,0.2038833652781596,0.028361353443310266,0.3558055583573993,0.7713717588082794,1.00176907697092,1600
Macrophytes,0.11270004738730938,0.09947066188372544,0.003334772746019389,0.08711409998957245,0.35664616703844493,1.0015582097074864,1900
Phytoplankton,0.05082138038091258,0.04432814781763895,0.0016334906354946992,0.03872617950667722,0.16547566961321158,1.0004995257129454,3000
