Source,mean,sd,2.5%,50%,97.5%,Rhat,n.eff
Allochthonous insects,0.17257943719066246,0.12788773643737328,0.007739551230881485,0.1476471649842965,0.4691928541971078,1.0028637846225827,850
Aquatic macroinvertebrates,0.35563103283797737,0.15362056330456586,0.07947727315260093,0.34660545751302957,0.685041057320573,1.005701577359704,2800
Detritus,0.4717895299713602,0.21383947551695065,0.048642641736734674,0.48610090428068,0.847815681264865,1.0024512129016885,3000
