mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,parameter
24.718686548464294,5.565229616925834,15.75965869184112,20.597197561471976,24.096161391198333,28.127072194455902,37.392396603210045,1.0022626528086134,1100,deviance
-0.20452032055230832,0.31954056025261957,-0.9479125413862276,-0.3717850100321689,-0.15618928399001533,0.01817357889135293,0.27828185459187776,1.0015718005270113,3000,loglik[1]
0.4420405876603063,0.22254387795195033,-0.03151317782824534,0.29975791004758195,0.45170591734736115,0.5958594068345338,0.8502301854424121,1.0017901464066632,1600,loglik[2]
0.17058449926401326,0.2117805150557463,-0.30431893488533457,0.04223248370679806,0.19157497474660723,0.3168540770306094,0.5267393822437635,1.0023588750497903,2800,loglik[3]
0.3204206802466643,0.20801436177419982,-0.1284809068935945,0.1985250597378596,0.33436919857955516,0.4623515561501689,0.7074209218543129,1.001461339947193,2100,loglik[4]
-0.01185230321175155,0.23473975487774126,-0.4648601635348306,-0.16952483942547797,-0.012828774756276529,0.14615702671571512,0.44916550593791177,1.0021486016501049,1200,loglik[5]
0.19799668510162424,0.23634850148523381,-0.2879540577422922,0.05191821045402281,0.20350304692231005,0.3607892346314798,0.6478146989032342,1.0016329093799834,1800,loglik[6]
-0.06072168852291289,0.23616346570424843,-0.5215875314022927,-0.21937545802687414,-0.06560874468980082,0.10331055268664267,0.4057545245974614,1.002211130511192,1200,loglik[7]
-1.8925230834218065,0.6262074097586681,-3.379453241930379,-2.2296782745317207,-1.7772259997457427,-1.4460848708124663,-0.9998708680616418,1.001752624326321,1600,loglik[8]
-2.4160863788864595,0.5311881778324177,-3.565292311598896,-2.753769383989007,-2.3703387042831023,-2.0273186638240857,-1.4946622287273694,1.0009536540274466,3000,loglik[9]
0.10058654338594074,0.2385946747898497,-0.37015500948183494,-0.058698526841046234,0.09947447440937116,0.25773957514021184,0.5863319267869511,1.0021633941572243,1200,loglik[10]
-0.29232472085909905,0.2566231292188871,-0.8247795749420574,-0.4512755966007462,-0.2834616690719134,-0.11873012723053694,0.20316496068798462,1.0007406333837154,3000,loglik[11]
-0.37682800047131115,0.2645083847204787,-0.9402387298435672,-0.5406499614979626,-0.3685988339864965,-0.19056812028811318,0.11219770450276025,1.0006326144305269,3000,loglik[12]
0.351593660741889,0.24207865966095585,-0.14520483280584673,0.19448573231674943,0.3547447628149357,0.5080865268966848,0.8320172194999812,1.0020298276662543,1300,loglik[13]
-0.10018845718526315,0.24766428312133507,-0.5940811611254386,-0.26361251073434294,-0.09862519171672685,0.06521814887178257,0.38406404952940953,1.001227774179984,2700,loglik[14]
-1.1452343746646974,0.37268762886467793,-1.9463337346031337,-1.3743202104030476,-1.1124084944693324,-0.8827965309786656,-0.5114307894985001,1.000563508717156,3000,loglik[15]
0.29502683039992916,0.23411239352171434,-0.1969659547336433,0.14719573808927816,0.2984897337726746,0.453104519901007,0.7404707467800613,1.001570032016074,1900,loglik[16]
-0.19688311990127055,0.33917279713144177,-0.9648947956514765,-0.39347465622464756,-0.156367590333098,0.04446537283351629,0.34507096683682004,1.0013692794653961,3000,loglik[17]
-0.07155046342064449,0.26409662498589553,-0.6251849319490832,-0.2355487821092083,-0.06249426628403071,0.10946395855209477,0.4113744927241756,1.0010265046788984,3000,loglik[18]
-0.2825582307431417,0.2451051326030513,-0.7723294499921017,-0.4431034137164461,-0.28285870112662664,-0.11948677632428054,0.20213194071294247,1.0014356851244672,2100,loglik[19]
-0.23257207098689572,0.2664969729867958,-0.8055625513528952,-0.39779163047637706,-0.22043547000744435,-0.048403588372937664,0.24418397260966615,1.0006945614166596,3000,loglik[20]
0.07024591686349804,0.24196338630474915,-0.42067021555699546,-0.08667581665956436,0.07243657335029524,0.23228624313412355,0.5466059340165933,1.0014104638421466,2200,loglik[21]
-2.9302578856990222,0.8317153612868042,-4.718281949184083,-3.469922626052875,-2.835702983553675,-2.3197102198690693,-1.5610087895330484,1.000683023992555,3000,loglik[22]
-0.821859502468135,0.31181595341986823,-1.4781114924230818,-1.0262587051036993,-0.8063109880450063,-0.6032169129088485,-0.25772601723347904,1.001724363420397,1600,loglik[23]
-2.379079366972241,0.4445928935315277,-3.34809864313147,-2.6591749572070342,-2.3407111468117723,-2.074687086657864,-1.6098401388198902,1.0007931974650934,3000,loglik[24]
0.38195728745430146,0.24103123720760902,-0.11028543801217895,0.22494846050311595,0.3878956188244728,0.5432557558584719,0.8539551417409919,1.0020344669111345,1300,loglik[25]
0.18177102617145496,0.24203569041994002,-0.3081964828171918,0.02672658063769895,0.17836908540740534,0.34219800425166275,0.668368487945972,1.0018635946191474,1500,loglik[26]
