mean,sd,2.5%,25%,50%,75%,97.5%,Rhat,n.eff,parameter
45.34639096535899,4.68755612851215,36.47944408587201,42.27292321417951,45.06522377261969,48.265850763884615,55.55071697655503,1.0010113288913278,3000,deviance
-1.681036334036284,0.37657801229853993,-2.6076782198456483,-1.8463294433617825,-1.6204050033310136,-1.4326636150689234,-1.1352037160180488,1.0007596450582283,3000,loglik[1]
-1.7042160476026555,0.37552482527406483,-2.542636238053319,-1.9222593722365873,-1.672631139769014,-1.4456569943038926,-1.0559690093418959,1.00070794975142,3000,loglik[2]
-1.8066070781028702,0.36626809290451195,-2.622488651956648,-2.01871953776051,-1.769142803157216,-1.5513394602953516,-1.187438894288855,1.0007780420832297,3000,loglik[3]
-3.10966837384099,0.8557436101838359,-5.1692838023276195,-3.5833791178087915,-2.9805861693571103,-2.490353306312814,-1.827777781730243,1.003172701351158,750,loglik[4]
-0.8760429372223151,0.27726551271689565,-1.4383245725749327,-1.0571432178900442,-0.8719049482301623,-0.6898356277701942,-0.3435850022022834,1.0017989852851577,1500,loglik[5]
-0.9917054550630663,0.26170000968693397,-1.4939108514818056,-1.164995724347734,-0.9890830073185803,-0.8142373874565806,-0.4750345624268329,1.0006799170418965,3000,loglik[6]
-1.5023772733325298,0.2623481765594473,-2.050157184072205,-1.663550721321795,-1.4904851963479107,-1.3272683762618924,-1.020403158431182,1.003356493000169,700,loglik[7]
-1.4710122626996556,0.25311446893381206,-1.9990178302986454,-1.6308961799871426,-1.4596711587015618,-1.301292971585985,-1.0068145145055365,1.0031033706308556,770,loglik[8]
-1.1287211061640907,0.25582866815408684,-1.6263552620626025,-1.297699766093038,-1.1283767279411556,-0.9588728212978992,-0.6233420492398493,1.0005321348390448,3000,loglik[9]
-1.2416353955369321,0.2540581262463676,-1.761695378502758,-1.402814435753551,-1.2323109200318645,-1.0735056869919881,-0.764293611906024,1.0028551858458012,850,loglik[10]
-2.9520033931061676,0.48830872407989645,-4.088604355743757,-3.2402984843761167,-2.8926016569837594,-2.5990207566694252,-2.1772978657532343,1.0011673608041824,3000,loglik[11]
-0.9039090787024108,0.2761253666246636,-1.4678738081370195,-1.0861784587052625,-0.8990533340930964,-0.7172492241573255,-0.37329394231361795,1.0019082960182943,1400,loglik[12]
-1.0681885671346476,0.2566945396764537,-1.5622893239252853,-1.2375366490855915,-1.0665844745252122,-0.8993231879274638,-0.5652804635247872,1.0005889853516725,3000,loglik[13]
-0.6364552400140239,0.30010880213770513,-1.2409454799574675,-0.8329945144420825,-0.6222021995185947,-0.43467039301964894,-0.05709392548847056,1.0008735978449,3000,loglik[14]
-0.8849546147395329,0.29288624070570557,-1.5043809544546227,-1.0755723710168767,-0.8751553981628541,-0.6828892575026162,-0.33189196515110464,1.0009810280476084,3000,loglik[15]
-0.7146623253813263,0.30316816535419183,-1.3450510027004587,-0.9107274206276901,-0.7041784788716379,-0.5090477403904764,-0.15398088217968153,1.001499236024219,2000,loglik[16]
0.2842946560876663,0.160469084423969,0.02175227203870925,0.16004911386118406,0.2709561486402765,0.40162538900538497,0.6027141595449849,1.0041806760891898,930,p.global[1]
0.18676261646399236,0.12078714680463482,0.013518867116353004,0.09305540604778105,0.17128141728874166,0.2592136975749053,0.45831078565782535,1.0064865188597802,590,p.global[2]
0.3654212996801194,0.2038833652781596,0.028361353443310266,0.2023752968056336,0.3558055583573993,0.5152199547955907,0.7713717588082794,1.00176907697092,1600,p.global[3]
0.11270004738730938,0.09947066188372544,0.003334772746019389,0.03889153934196448,0.08711409998957245,0.15837428314289595,0.35664616703844493,1.0015582097074864,1900,p.global[4]
0.05082138038091258,0.04432814781763895,0.0016334906354946992,0.016674072843056706,0.03872617950667722,0.0735280884499237,0.16547566961321158,1.0004995257129454,3000,p.global[5]
0.7146759732558572,0.46637690611197713,0.1951432599634928,0.4137140369397853,0.5967542301495061,0.8843107352427051,1.9197493908905077,1.0017211115023548,1600,resid.prop[1]
2.348049938604054,1.5378061216926238,0.5167047371609689,1.3280168494148943,1.9811662274752428,2.9588419535532213,6.37620818558982,1.0018231508318107,1900,resid.prop[2]
