Source,mean,sd,2.5%,50%,97.5%,Rhat,n.eff
Detritus,0.21819836797361322,0.16442242027164675,0.007966390564286469,0.17844474288042336,0.5877324839080958,1.0069621942791724,460
Macrophytes,0.08320093621485337,0.08394454266412209,0.0024219484183143035,0.059837027779778826,0.2983405806549443,1.0052475941537222,520
Periphyton,0.06712270175205517,0.03417962661320405,0.004030129948922367,0.06919262945882484,0.1290754489977837,1.0029893178984417,810
Phytoplankton,0.6314779940594782,0.1548386224827126,0.28088779663357194,0.6606184294602147,0.8598846735647564,1.007735452875558,380
