Source,mean,sd,2.5%,50%,97.5%,Rhat,n.eff
Aquatic macroinvertebrates,0.1909228511414504,0.13511890602984636,0.011250022644745757,0.16658727377749938,0.5266460320096751,1.0040482175586904,1200
Fish | Invertivore,0.25024668559363134,0.1775884280795091,0.011037252817451564,0.2155301547428972,0.6596278182641869,1.0077093091388236,430
Fish | Omnivore,0.21276092074406797,0.14855695632206867,0.010046011035415513,0.18759500140658822,0.5518307277454864,1.0008843108277834,3000
Fish | Primary Consumer,0.3460695425208503,0.20102701376240237,0.018218008461726495,0.33549985930338483,0.7442983348504807,1.0017685993975842,2800
