Source,mean,sd,2.5%,50%,97.5%,Rhat,n.eff
Allochthonous insects,0.5676703685145591,0.1902604305680871,0.13337743773435998,0.5953928354142047,0.8727014204692152,1.0124569179223624,2500
Allochthonous plants,0.24473477789285977,0.16625338128315617,0.01519952182050784,0.21888150665690892,0.6224497489565713,1.000500299936803,3000
Aquatic macroinvertebrates,0.18759485359258113,0.14231156669400968,0.010378009238176595,0.1586208780527419,0.5346694577083237,1.0005885300922157,3000
